쇼핑몰,제품,수량,판매금액,쇼핑몰 유형
쿠팡,제품_16,8,1134400,쿠팡
쿠팡,제품_57,8,439200,쿠팡
쿠팡,제품_25,4,495200,쿠팡
쿠팡,제품_18,4,578000,쿠팡
쿠팡,제품_90,2,75000,쿠팡
쿠팡,제품_03,5,195500,쿠팡
쿠팡,제품_93,4,285600,쿠팡
쿠팡,제품_85,8,670400,쿠팡
쿠팡,제품_60,5,472500,쿠팡
쿠팡,제품_66,9,398700,쿠팡
쿠팡,제품_30,3,387300,쿠팡
쿠팡,제품_59,6,796200,쿠팡
쿠팡,제품_83,4,338400,쿠팡
쿠팡,제품_28,9,1209600,쿠팡
쿠팡,제품_62,8,892800,쿠팡
쿠팡,제품_80,4,106400,쿠팡
쿠팡,제품_47,10,1096000,쿠팡
쿠팡,제품_50,1,15600,쿠팡
쿠팡,제품_52,7,455700,쿠팡
쿠팡,제품_13,5,293000,쿠팡
쿠팡,제품_96,3,235800,쿠팡
쿠팡,제품_41,10,1393000,쿠팡
쿠팡,제품_35,7,633500,쿠팡
쿠팡,제품_29,3,37500,쿠팡
쿠팡,제품_79,9,357300,쿠팡
쿠팡,제품_96,3,235800,쿠팡
쿠팡,제품_42,10,1216000,쿠팡
쿠팡,제품_35,2,181000,쿠팡
쿠팡,제품_67,9,421200,쿠팡
쿠팡,제품_50,5,78000,쿠팡
쿠팡,제품_74,1,151500,쿠팡
쿠팡,제품_68,6,171000,쿠팡
쿠팡,제품_47,1,109600,쿠팡
쿠팡,제품_78,6,278400,쿠팡
쿠팡,제품_39,8,83200,쿠팡
쿠팡,제품_16,7,992600,쿠팡
쿠팡,제품_99,2,38200,쿠팡
쿠팡,제품_58,9,911700,쿠팡
쿠팡,제품_22,7,589400,쿠팡
쿠팡,제품_21,7,480200,쿠팡
쿠팡,제품_10,2,248400,쿠팡
쿠팡,제품_08,2,117400,쿠팡
쿠팡,제품_03,8,312800,쿠팡
쿠팡,제품_49,7,313600,쿠팡
쿠팡,제품_63,10,1336000,쿠팡
쿠팡,제품_51,1,27700,쿠팡
쿠팡,제품_10,4,496800,쿠팡
쿠팡,제품_87,10,1308000,쿠팡
쿠팡,제품_35,3,271500,쿠팡
쿠팡,제품_45,10,147000,쿠팡
쿠팡,제품_81,6,918000,쿠팡
쿠팡,제품_99,1,19100,쿠팡
쿠팡,제품_98,4,393600,쿠팡
쿠팡,제품_94,8,417600,쿠팡
쿠팡,제품_91,6,165000,쿠팡
쿠팡,제품_18,5,722500,쿠팡
쿠팡,제품_05,3,322800,쿠팡
쿠팡,제품_06,6,541200,쿠팡
쿠팡,제품_07,6,891600,쿠팡
쿠팡,제품_97,7,604100,쿠팡
쿠팡,제품_37,3,209400,쿠팡
쿠팡,제품_43,10,868000,쿠팡
쿠팡,제품_41,9,1253700,쿠팡
쿠팡,제품_14,7,470400,쿠팡
쿠팡,제품_82,9,891900,쿠팡
쿠팡,제품_88,2,227800,쿠팡
쿠팡,제품_99,8,152800,쿠팡
쿠팡,제품_63,5,668000,쿠팡
쿠팡,제품_81,5,765000,쿠팡
쿠팡,제품_43,1,86800,쿠팡
